Ref,Val,Package,PosX,PosY,Rot,Side
"C56","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.597500,-83.820000,0.000000,top
"C57","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.217500,-83.820000,0.000000,top
"C58","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.610000,-83.820000,0.000000,top
"C59","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",189.002500,-83.820000,0.000000,top
"C60","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.597500,-86.995000,0.000000,top
"C61","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.217500,-86.995000,0.000000,top
"C62","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.610000,-86.995000,0.000000,top
"C63","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",189.002500,-86.995000,0.000000,top
"C64","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.597500,-90.170000,0.000000,top
"C65","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.217500,-90.170000,0.000000,top
"C66","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.610000,-90.170000,0.000000,top
"C67","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",189.002500,-90.170000,0.000000,top
"C68","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.597500,-93.345000,0.000000,top
"C69","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.217500,-93.345000,0.000000,top
"C70","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.610000,-93.345000,0.000000,top
"C71","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",189.002500,-93.345000,0.000000,top
"C72","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.597500,-96.520000,0.000000,top
"C73","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.217500,-96.520000,0.000000,top
"C74","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.610000,-96.520000,0.000000,top
"C75","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",189.002500,-96.520000,0.000000,top
"C76","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",166.597500,-99.695000,0.000000,top
"C77","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.217500,-99.695000,0.000000,top
"C78","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.610000,-99.695000,0.000000,top
"C79","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",189.002500,-99.695000,0.000000,top
"C81","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",213.004400,-61.798200,90.000000,top
