Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C62,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.61,-86.995,0,top
C63,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.0025,-86.995,0,top
C64,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.5975,-90.17,0,top
C65,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.2175,-90.17,0,top
C66,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.61,-90.17,0,top
C67,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.0025,-90.17,0,top
C68,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.5975,-93.345,0,top
C69,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.2175,-93.345,0,top
C70,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.61,-93.345,0,top
C71,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.0025,-93.345,0,top
C72,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.5975,-96.52,0,top
C73,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.2175,-96.52,0,top
C74,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.61,-96.52,0,top
C75,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.0025,-96.52,0,top
C76,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,166.5975,-99.695,0,top
C77,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.2175,-99.695,0,top
C78,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.61,-99.695,0,top
C79,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.0025,-99.695,0,top
D1,DESD5V0S1BA-7,D_SOD-323,222.885,-146.685,0,top
D2,DESD5V0S1BA-7,D_SOD-323,205.105,-146.685,180,top
D3,DESD5V0S1BA-7,D_SOD-323,222.885,-142.875,0,top
D4,DESD5V0S1BA-7,D_SOD-323,205.105,-142.875,180,top
D5,DESD5V0S1BA-7,D_SOD-323,222.885,-139.065,0,top
D6,DESD5V0S1BA-7,D_SOD-323,205.105,-139.065,180,top
D7,DESD5V0S1BA-7,D_SOD-323,222.885,-135.255,0,top
D8,DESD5V0S1BA-7,D_SOD-323,205.105,-135.255,180,top
D9,DESD5V0S1BA-7,D_SOD-323,205.105,-120.015,180,top
D10,DESD5V0S1BA-7,D_SOD-323,222.885,-120.015,0,top
D11,DESD5V0S1BA-7,D_SOD-323,205.105,-123.825,180,top
D12,DESD5V0S1BA-7,D_SOD-323,222.885,-123.825,0,top
D13,DESD5V0S1BA-7,D_SOD-323,205.105,-127.635,180,top
D14,DESD5V0S1BA-7,D_SOD-323,222.885,-127.635,0,top
D15,DESD5V0S1BA-7,D_SOD-323,205.105,-131.445,180,top
D16,DESD5V0S1BA-7,D_SOD-323,222.885,-131.445,0,top
D17,DESD5V0S1BA-7,D_SOD-323,155.795,-146.685,0,top
D18,DESD5V0S1BA-7,D_SOD-323,138.43,-120.015,180,top
D19,DESD5V0S1BA-7,D_SOD-323,138.43,-146.685,180,top
D20,DESD5V0S1BA-7,D_SOD-323,155.795,-120.015,0,top
D21,DESD5V0S1BA-7,D_SOD-323,155.795,-142.875,0,top
D22,DESD5V0S1BA-7,D_SOD-323,138.43,-123.825,180,top
D23,DESD5V0S1BA-7,D_SOD-323,138.43,-142.875,180,top
D24,DESD5V0S1BA-7,D_SOD-323,155.795,-123.825,0,top
D25,DESD5V0S1BA-7,D_SOD-323,155.795,-139.065,0,top
D26,DESD5V0S1BA-7,D_SOD-323,138.43,-127.635,180,top
D27,DESD5V0S1BA-7,D_SOD-323,138.43,-139.065,180,top
D28,DESD5V0S1BA-7,D_SOD-323,155.795,-127.635,0,top
D29,DESD5V0S1BA-7,D_SOD-323,155.795,-135.255,0,top
D30,DESD5V0S1BA-7,D_SOD-323,138.43,-131.445,180,top
D31,DESD5V0S1BA-7,D_SOD-323,138.43,-135.255,180,top
D32,DESD5V0S1BA-7,D_SOD-323,155.795,-131.445,0,top
D33,DESD5V0S1BA-7,D_SOD-323,178.435,-146.685,0,top
D34,DESD5V0S1BA-7,D_SOD-323,159.385,-120.015,180,top
